,0,1
764,sharp,7
765,climax,2
766,succeeded,12
767,wicked,10
768,cruel,8
769,boy,6
770,murderer—you,1
771,slave-driver—you,1
772,roman,3
773,emperors,1
774,goldsmith,1
775,rome,2
776,nero,1
777,caligula,1
778,c,26
779,also,18
780,parallels,1
781,silence,32
782,thus,32
783,declared,9
784,aloud,7
785,hear,38
786,won,6
787,first—,1
788,ran,28
789,headlong,1
790,felt,70
791,grasp,1
792,hair,44
793,shoulder,15
794,closed,23
795,desperate,7
796,tyrant,1
797,murderer,1
798,drop,6
799,blood,19
800,trickle,1
801,neck,10
802,sensible,5
803,somewhat,17
804,pungent,3
805,suffering,6
806,sensations,6
807,predominated,1
808,fear,28
809,received,23
810,frantic,2
811,sort,39
812,know,93
813,hands,50
814,called,51
815,bellowed,1
816,aid,10
817,gone,34
818,upstairs,16
819,upon,29
820,followed,33
821,maid,1
822,abbot,25
823,parted,2
824,words—,3
825,dear,16
826,fury,5
827,fly,1
828,anybody,7
829,see,139
830,such,124
831,passion,9
832,subjoined—,1
833,red-room,9
834,lock,6
835,laid,26
836,borne,3
837,ii,1
838,resisted,2
839,new,66
840,circumstance,11
841,greatly,2
842,strengthened,1
843,bad,25
844,miss,269
845,disposed,13
846,entertain,4
847,fact,11
848,trifle,1
849,beside,5
850,french,30
851,conscious,2
852,moment,38
853,mutiny,1
854,already,24
855,rendered,5
856,liable,3
857,strange,54
858,penalties,1
859,any,117
860,rebel,1
861,slave,3
862,resolved,9
863,desperation,2
864,lengths,1
865,hold,13
866,arms,22
867,mad,3
868,cat,6
869,shame,9
870,lady,74
871,s-maid,3
872,shocking,4
873,conduct,7
874,eyre,64
875,gentleman,26
876,benefactress,9
877,son,4
878,am,159
879,servant,18
880,less,29
881,keep,36
882,think,120
883,wickedness,2
884,this,321
885,apartment,16
886,indicated,2
887,thrust,8
888,stool,10
889,impulse,7
890,rise,15
891,spring,11
892,pair,14
893,arrested,4
894,instantly,16
895,still,134
896,tied,11
897,lend,3
898,garters,1
899,break,10
900,directly,9
901,divest,1
902,leg,2
903,necessary,11
904,ligature,1
905,preparation,3
906,bonds,1
907,additional,3
908,ignominy,1
909,inferred,1
910,took,66
911,excitement,9
912,off,65
913,stir,9
914,guarantee,1
915,whereof,1
916,attached,3
917,seat,28
918,mind,63
919,ascertained,2
920,subsiding,1
921,loosened,1
922,stood,65
923,folded,8
924,looking,40
925,darkly,2
926,doubtfully,1
927,incredulous,1
928,sanity,1
929,last,85
930,abigail,1
931,always,49
932,reply,16
933,ve,16
934,missis,19
935,agreed,2
936,underhand,2
937,girl,56
938,cover,4
939,answered,27
940,ere,19
941,addressing,6
942,said—,11
943,obligations,1
944,keeps,4
945,turn,31
946,poorhouse,1
947,recollections,5
948,existence,19
949,included,3
950,hints,4
951,kind,32
952,reproach,1
953,dependence,1
954,become,16
955,vague,11
956,sing-song,1
957,ear,19
958,painful,9
959,crushing,2
960,half,47
961,intelligible,1
962,joined,4
963,in—,2
964,yourself,27
965,equality,4
966,misses,8
967,kindly,7
968,allows,1
969,great,76
970,place,49
971,humble,3
972,try,14
973,make,67
974,agreeable,4
975,added,18
976,useful,7
977,pleasant,16
978,passionate,5
979,rude,5
980,send,19
981,god,27
982,punish,5
983,dead,22
984,midst,4
