,0,1
639,congratulations,5
640,hope,140
641,went,45
642,behave,3
643,cried,77
644,ah,46
645,tis,2
646,business,53
647,please,33
648,possibly,17
649,‘,112
650,regard,43
651,comes,24
652,question,38
653,dependence,10
654,independence,11
655,—at,3
656,rate,12
657,better,167
658,especially,21
659,those,92
660,fanciful,3
661,troublesome,9
662,creature,37
663,playfully,2
664,head,37
665,know—and,2
666,certainly,94
667,believe,101
668,sometimes,38
669,dearest,19
670,mean,54
671,horrible,5
672,idea,97
673,oh,160
674,meant,42
675,myself,98
676,loves,9
677,know—in,2
678,joke—it,1
679,joke,5
680,another,110
681,fact,23
682,faults,11
683,told,79
684,agreeable,50
685,knew,88
686,suspect,20
687,knows,30
688,flatter,5
689,reflection,18
690,has,250
691,persons,11
692,chances,5
693,gainer,1
694,willing,13
695,let,85
696,pass—,1
697,hear,99
698,behaved,9
699,charmingly,4
700,punctual,1
701,looks,27
702,tear,4
703,face,30
704,seen,73
705,apart,3
706,bears,2
707,sorry,57
708,lose,19
709,thinks,22
710,turned,29
711,divided,4
712,tears,9
713,smiles,13
714,should,368
715,acceptable,8
716,important,17
717,secure,9
718,provision,3
719,therefore,62
720,allow,47
721,pain,31
722,happily,18
723,forgotten,19
724,matter,29
725,considerable,17
726,one—that,1
727,four,22
728,proved,16
729,marry,63
730,shook,8
731,fondly,4
732,replied,76
733,matches,6
734,foretell,2
735,whatever,17
736,pass,31
737,pray,24
738,none,27
739,greatest,29
740,amusement,13
741,success,11
742,—every,4
743,widower,1
744,perfectly,65
745,constantly,8
746,occupied,16
747,either,62
748,friends,80
749,wherever,7
750,cheerful—mr,1
751,need,42
752,spend,18
753,single,18
754,year,27
755,alone,27
756,deathbed,1
757,others,58
758,son,41
759,uncle,23
760,letting,4
761,solemn,5
762,nonsense,20
763,subject,95
764,believed,45
765,since,63
766,day—about,1
767,ago—that,1
768,met,38
769,broadway,1
770,lane,10
771,began,62
772,drizzle,1
773,darted,3
774,gallantry,12
775,borrowed,2
776,umbrellas,2
777,farmer,8
778,mitchell,1
779,planned,2
780,blessed,7
781,instance,9
782,leave,56
783,match-making,6
784,understand,66
785,supposes,1
786,endeavour,14
787,properly,9
788,delicately,1
789,endeavouring,3
790,bring,38
791,worthy,17
792,employment,10
793,young,189
794,lady,72
795,imagine,53
796,making,50
797,planning,3
798,saying,48
799,yourself,51
800,idle,4
801,why,46
802,talk,58
803,merit,13
804,proud,8
805,guess,23
806,known,56
807,triumph,5
808,you.—i,2
809,cleverer—for,1
810,depend,25
811,merely,27
812,luck,8
813,talent,9
814,word,87
815,quarrel,11
816,claim,12
817,drawn,15
818,pictures,2
819,third—a,1
820,something,107
821,do-nothing,1
822,do-all,1
823,visits,14
824,given,76
825,encouragements,1
826,smoothed,2
827,matters,10
828,enough,125
829,comprehend,15
830,straightforward,3
831,open-hearted,2
832,unaffected,4
833,safely,19
834,manage,5
835,likely,45
836,harm,13
837,interference,7
838,rejoined,2
839,understanding,26
840,silly,11
841,break,13
842,circle,15
843,grievously,1
844,elton,384
845,him—and,4
846,whole,73
847,fitted,1
848,comfortably,11
849,shame,8
850,longer—and,1
851,joining,2
852,hands,22
853,to-day,23
854,same,100
855,service,21
856,shew,28
857,attention,58
858,ask,43
859,dare,58
860,laughing,16
861,invite,13
862,fish,1
863,chicken,2
864,chuse,23
865,six,11
866,seven-and-twenty,1
867,care,50
868,ii,5
869,native,5
870,born,6
871,respectable,20
872,generations,2
873,rising,6
874,gentility,6
875,property,6
876,received,35
877,education,15
878,succeeding,5
879,small,29
880,become,12
881,indisposed,3
882,homely,1
883,pursuits,2
884,brothers,4
885,engaged,34
886,satisfied,46
887,active,7
888,social,6
889,entering,8
890,militia,2
891,county,2
892,embodied,1
893,captain,3
894,general,64
895,favourite,22
896,military,1
897,introduced,8
898,churchill,217
899,yorkshire,7
900,fell,10
901,love,113
902,surprized,30
903,except,26
904,full,46
905,pride,18
906,importance,11
907,connexion,20
908,offend,3
909,command,16
910,fortune—though,1
911,bore,7
912,proportion,4
913,family-estate—was,1
914,dissuaded,1
915,took,47
916,infinite,3
917,mortification,11
918,threw,2
919,due,22
920,decorum,2
921,unsuitable,3
922,produce,10
923,ought,94
924,whose,39
